Algoritmo,Tamanho do número,Número gerado,Tempo para gerar em µs
Congruência Linear,40 bits,5492386547,1.2000018614344299
Congruência Linear,40 bits,16477159648,0.5000001692678779
Congruência Linear,40 bits,49431478951,0.2999986463692039
Congruência Linear,40 bits,148294436860,0.2999986463692039
Congruência Linear,40 bits,444883310587,0.39999940781854093
Congruência Linear,40 bits,235138303992,0.5000001692678779
Congruência Linear,40 bits,705414911983,0.2999986463692039
Congruência Linear,40 bits,1016733108180,0.39999940781854093
Congruência Linear,40 bits,851176068995,0.39999940781854093
Congruência Linear,40 bits,354504951440,0.300002284348011
Congruência Linear,40 bits,1063514854327,0.200001522898674
Congruência Linear,40 bits,991521307436,0.39999940781854093
Congruência Linear,40 bits,775540666763,0.2999986463692039
Congruência Linear,40 bits,127598744744,0.2999986463692039
Congruência Linear,40 bits,382796234239,0.19999788491986692
Congruência Linear,40 bits,48877074948,0.39999940781854093
Congruência Linear,40 bits,146631224851,0.2999986463692039
Congruência Linear,40 bits,439893674560,0.2999986463692039
Congruência Linear,40 bits,220169395911,0.39999940781854093
Congruência Linear,40 bits,660508187740,0.200001522898674
Congruência Linear,40 bits,882012935451,0.39999940781854093
Congruência Linear,40 bits,447015550808,0.300002284348011
Congruência Linear,40 bits,241535024655,0.300002284348011
Congruência Linear,40 bits,724605073972,0.300002284348011
Congruência Linear,40 bits,1074303594147,0.39999940781854093
Congruência Linear,40 bits,1023887526896,0.2999986463692039
Congruência Linear,40 bits,872639325143,0.2999986463692039
Congruência Linear,40 bits,418894719884,0.2999986463692039
Congruência Linear,40 bits,157172531883,0.2999986463692039
Congruência Linear,40 bits,471517595656,0.200001522898674
Congruência Linear,40 bits,315041159199,0.39999940781854093
Congruência Linear,40 bits,945123477604,0.200001522898674
Congruência Linear,40 bits,636347177267,0.39999940781854093
Congruência Linear,40 bits,809529904032,0.2999986463692039
Congruência Linear,40 bits,229566456551,0.2999986463692039
Congruência Linear,40 bits,688699369660,0.2999986463692039
Congruência Linear,40 bits,966586481211,0.2999986463692039
Congruência Linear,40 bits,700736188088,0.2999986463692039
Congruência Linear,40 bits,1002696936495,0.39999940781854093
Congruência Linear,40 bits,809067553940,0.2999986463692039
Congruência Linear,40 bits,228179406275,0.39999940781854093
Congruência Linear,40 bits,684538218832,0.300002284348011
Congruência Linear,40 bits,954103028727,1.7999991541728377
Congruência Linear,40 bits,663285830636,0.2999986463692039
Congruência Linear,40 bits,890345864139,0.39999940781854093
Congruência Linear,40 bits,472014336872,0.2999986463692039
Congruência Linear,40 bits,316531382847,0.2999986463692039
Congruência Linear,40 bits,949594148548,0.2999986463692039
Congruência Linear,40 bits,649759190099,0.2999986463692039
Congruência Linear,40 bits,849765942528,0.2999986463692039
Congruência Linear,56 bits,16716980281092851,0.6000009307172149
Congruência Linear,56 bits,50150940843278560,0.2999986463692039
Congruência Linear,56 bits,6337634453979815,0.2999986463692039
Congruência Linear,56 bits,19012903361939452,0.2999986463692039
Congruência Linear,56 bits,57038710085818363,0.2999986463692039
Congruência Linear,56 bits,27000942181599224,0.300002284348011
Congruência Linear,56 bits,8945232506869743,0.39999940781854093
Congruência Linear,56 bits,26835697520609236,0.2999986463692039
Congruência Linear,56 bits,8449498523899779,0.2999986463692039
Congruência Linear,56 bits,25348495571699344,0.19999788491986692
Congruência Linear,56 bits,3987892677170103,0.39999940781854093
Congruência Linear,56 bits,11963678031510316,0.19999788491986692
Congruência Linear,56 bits,35891034094530955,0.2999986463692039
Congruência Linear,56 bits,35615508245664936,0.2999986463692039
Congruência Linear,56 bits,34788930699066879,0.39999940781854093
Congruência Linear,56 bits,32309198059272708,0.300002284348011
Congruência Linear,56 bits,24870000139890195,0.300002284348011
Congruência Linear,56 bits,2552406381742656,0.2999986463692039
Congruência Linear,56 bits,7657219145227975,0.200001522898674
Congruência Linear,56 bits,22971657435683932,0.300002284348011
Congruência Linear,56 bits,68914972307051803,0.300002284348011
Congruência Linear,56 bits,62629728845299544,0.300002284348011
Congruência Linear,56 bits,43773998460042767,0.39999940781854093
Congruência Linear,56 bits,59264401342200372,0.2999986463692039
Congruência Linear,56 bits,33678015950745251,1.5999976312741637
Congruência Linear,56 bits,28976453814307824,0.2999986463692039
Congruência Linear,56 bits,14871767404995543,0.2999986463692039
Congruência Linear,56 bits,44615302214986636,0.19999788491986692
Congruência Linear,56 bits,61788312607031979,0.39999940781854093
Congruência Linear,56 bits,41249749745240072,0.2999986463692039
Congruência Linear,56 bits,51691655197792287,0.2999986463692039
Congruência Linear,56 bits,10959777517520996,0.2999986463692039
Congruência Linear,56 bits,32879332552562995,0.300002284348011
Congruência Linear,56 bits,26580403619761056,0.400003045797348
Congruência Linear,56 bits,7683616821355239,0.300002284348011
Congruência Linear,56 bits,23050850464065724,0.200001522898674
Congruência Linear,56 bits,69152551392197179,0.300002284348011
Congruência Linear,56 bits,63342466100735672,0.300002284348011
Congruência Linear,56 bits,45912210226351151,0.39999940781854093
Congruência Linear,56 bits,65679036641125524,0.2999986463692039
Congruência Linear,56 bits,52921921847520707,0.39999940781854093
Congruência Linear,56 bits,14650577466706256,0.2999986463692039
Congruência Linear,56 bits,43951732400118775,0.2999986463692039
