Algoritmo,Tamanho do número,Número gerado,Tempo para gerar em µs
Additive Lagged Fibonacci,40 bits,531585472302,0.8999995770864189
Additive Lagged Fibonacci,40 bits,1058544656911,0.49999653128907084
Additive Lagged Fibonacci,40 bits,4128402715,0.6000009307172149
Additive Lagged Fibonacci,40 bits,1005187458927,0.2999986463692039
Additive Lagged Fibonacci,40 bits,700575099028,0.39999940781854093
Additive Lagged Fibonacci,40 bits,154661415456,0.39999940781854093
Additive Lagged Fibonacci,40 bits,220297675585,0.400003045797348
Additive Lagged Fibonacci,40 bits,140079618668,0.39999940781854093
Additive Lagged Fibonacci,40 bits,132648943554,0.5000001692678779
Additive Lagged Fibonacci,40 bits,113694444591,0.400003045797348
Additive Lagged Fibonacci,40 bits,224426078300,0.300002284348011
Additive Lagged Fibonacci,40 bits,45755449819,0.39999940781854093
Additive Lagged Fibonacci,40 bits,833224042582,0.2999986463692039
Additive Lagged Fibonacci,40 bits,268355860047,0.2999986463692039
Additive Lagged Fibonacci,40 bits,444723753885,0.39999940781854093
Additive Lagged Fibonacci,40 bits,185835068487,0.2999986463692039
Additive Lagged Fibonacci,40 bits,965872986136,0.300002284348011
Additive Lagged Fibonacci,40 bits,382050304638,0.300002284348011
Additive Lagged Fibonacci,40 bits,669149832185,0.300002284348011
Additive Lagged Fibonacci,40 bits,231590518306,0.2999986463692039
Additive Lagged Fibonacci,40 bits,699585400942,0.39999940781854093
Additive Lagged Fibonacci,40 bits,650406164685,0.2999986463692039
Additive Lagged Fibonacci,40 bits,14361958294,0.39999940781854093
Additive Lagged Fibonacci,40 bits,417425586793,0.2999986463692039
Additive Lagged Fibonacci,40 bits,565946759302,0.400003045797348
Additive Lagged Fibonacci,40 bits,1032456469323,0.300002284348011
Additive Lagged Fibonacci,40 bits,683511790479,0.300002284348011
Additive Lagged Fibonacci,40 bits,649016105099,0.300002284348011
Additive Lagged Fibonacci,40 bits,166020532468,0.39999940781854093
Additive Lagged Fibonacci,40 bits,583351006232,0.39999940781854093
Additive Lagged Fibonacci,40 bits,697873748773,0.2999986463692039
Additive Lagged Fibonacci,40 bits,1066441691892,0.2999986463692039
