Método,Tamanho do número,Número primo gerado,Tempo para testar em µs
Miller-Rabin,40 bits,5492386553,27.899997803615406
Miller-Rabin,56 bits,16716980281092947,34.599997889017686
Miller-Rabin,80 bits,379468033942656785525513,62.60000009206124
Miller-Rabin,128 bits,332190459616475871163716931920341183321,147.8000012866687
Miller-Rabin,168 bits,252317866089047733793676770723289736875239838526197,220.30000036465935
Miller-Rabin,224 bits,26362001864992237524299436547068932311768347698878404097818360752987,377.5999975914601
Miller-Rabin,256 bits,12916700677017610138380955828281980526302890714661436998313997954188054571949,439.89999903715216
Miller-Rabin,512 bits,10103841522455865168996472030706541259897708149939677149797683722384715795401189741968728779773389193220768434512354245391540165278428420835086189610348663,1957.5000005715992
Miller-Rabin,1024 bits,145676233500941332174831641046462010909857449275328177205919097429603427578151923098065777936601896609376850222640421264946302382712960104499706165926515201034552436268289253591263625382471142252951384730876831696285275142932202804399998858056128834108878371506833497237136729860791887583523399880772199330521,11070.100001234096
Miller-Rabin,2048 bits,5334822740417744549851395592798616307670474066667404106689393147624980889476808969929049118904426112114157199187633775238575428612274032043477261717806093154891535159364447927010752738857786223822443596457301635766403577014933726051835240745389254923745761131662251020180602372777274062422622184034159010701343055689639709845754705559998720008774092852435718964793880115065896708205603035418110618270815338340136792916052479598940862176322194350106536952323465423366154822746277938033812761030029964266899864705199479725934430499285229168355556098589757596539301746806995297930354331532064207272390863237443066212391,73192.89999941248
Miller-Rabin,4096 bits,975138898446591625098756495809886035939322391487948440145144032359033650425617784660731936322941602459529618591360417103201518609164425883799670253873895880102828491702021547190905941845738983946176955184764042305324562235789694286617075612879654366240787410264499034046237010291939595068182041779487393476990049601386284187394866730026437475977325134960028149661302895514503345318555158501311446050040581172609434461473800855723322678884418717845007504490222137749092708522065640088612123635619909087827061655769503912095985815278478569919533815507357949385468928166330604408820543321836600214491449046833925604886775860893050295189950677081040450223196579943151687039903427173048863765752521574319814811776636429304636728736050305857607908782228286344004055521275995319971464686513976926545526620375230892688508752437823835367529032471819802620941295784218739209174095846543709827542653266675750849292295573475749471939788405749385338756941277441837224525147676341523869098349556202427662151785612659621209544787671369462406178020418169917507948166068313761687587733808815228072435345708506387916380220978774888016918300026783416702074196406314978324045220781437959183628778730595279613512006121488486683708399880651886211039706359,502311.50000035996
Miller-Rabin,40 bits,531585472303,42.69999772077426
Miller-Rabin,56 bits,6708904064029807,37.49999814317562
Miller-Rabin,80 bits,311223727727982235741079,63.900002714945
Miller-Rabin,128 bits,152109257256663645827918982176126790991,152.6000014564488
Miller-Rabin,168 bits,65742836999865924043456484780297077251539370179467,243.09999935212545
Miller-Rabin,224 bits,15897970173828804992795207402674208946944308808358714986965170298973,439.2000009829644
Miller-Rabin,256 bits,426178821124588758141174965063318746072366654573655546493898495477106942933,435.1999996288214
Miller-Rabin,512 bits,747693142735107214362340406316018647683332798567865098276200184591886378827421227189457484250177905591427806715421350023389743146688249463933842343662899,1855.70000030566
Miller-Rabin,1024 bits,85033938841742395313706313910622765494798112960042073151406506335989983335136504606837034629059513437060474671895937147503484179214131581956141683656909138941939509837812608431191949682683357916873689304410873814972140203193827009592613706538411451049718071791755538807142907960146057408864936503746621032537,11235.099998884834
Miller-Rabin,2048 bits,9598668291697528723678640848544164960408554298638231375836690709049621068070465682511716085032502164767022567279462174258145529793002475651775316195877721730091407876027535283669984445582001965813327869303958889265773705870748206540639961427500538973466087913729837417022791481745485344859834578377759242856870766821727877312289439008088716897312256882528410472164583276724110369755179168435796511561718716932371765025550665410004309818645212123403893435286027631811235758242664595765370049770043985127499533732227712990463488317347611670291093265617167100717675727374693714143962992398300393689507634838200094186439,76031.80000296561
Miller-Rabin,4096 bits,455335113750255948051712016336367391289557408064152649428591971181498516264229086287092028762920670625249551573106796441283814781038737240704606364913128832840613916829970640009006947196229858477399751135134287961815745323584806496538897669762551124541652016880768296448200901818454167283504444628621018500198643447594944499140514136803288768820024022034475628237465748517979546495402416056679779476396142116409439491422971973622345777551313332771716476579416458545660797432939782475256149905950276689883738489910416720394149691018909217462990424904951923510499890735079336950964713611579401816416879636306530731902830036462754425560130758029340552954967660679854449392124238454475699694183932740995588952490157151232391885052278806410903476117923438074648192189590886550358753920344948184268395850761936825962139304466942749229562755576011199271569457514285858558504722311452495764786097156269184676051351295596544646546476142147968788932689543021678534090894778427635211544063143654090034907049532595963409412581504839842394712933273050556270796091222498882788897030072107931816001076674337905384881905439410991996813977937956156046838278966202973577270194748614174021761819544708224237023258541201540634748387012085714557310519633,523290.50000116695
Fermat,40 bits,5492386553,29.999999242136255
Fermat,56 bits,16716980281092947,40.70000068168156
Fermat,80 bits,379468033942656785525513,71.5000023774337
Fermat,128 bits,332190459616475871163716931920341183321,175.6999990902841
Fermat,168 bits,252317866089047733793676770723289736875239838526197,286.6000031644944
Fermat,224 bits,26362001864992237524299436547068932311768347698878404097818360752987,551.200002519181
Fermat,256 bits,12916700677017610138380955828281980526302890714661436998313997954188054571949,443.9000003912952
Fermat,512 bits,10103841522455865168996472030706541259897708149939677149797683722384715795401189741968728779773389193220768434512354245391540165278428420835086189610348663,2014.4999980402645
Fermat,1024 bits,145676233500941332174831641046462010909857449275328177205919097429603427578151923098065777936601896609376850222640421264946302382712960104499706165926515201034552436268289253591263625382471142252951384730876831696285275142932202804399998858056128834108878371506833497237136729860791887583523399880772199330521,11257.499998464482
Fermat,2048 bits,5334822740417744549851395592798616307670474066667404106689393147624980889476808969929049118904426112114157199187633775238575428612274032043477261717806093154891535159364447927010752738857786223822443596457301635766403577014933726051835240745389254923745761131662251020180602372777274062422622184034159010701343055689639709845754705559998720008774092852435718964793880115065896708205603035418110618270815338340136792916052479598940862176322194350106536952323465423366154822746277938033812761030029964266899864705199479725934430499285229168355556098589757596539301746806995297930354331532064207272390863237443066212391,73872.7000025392
Fermat,4096 bits,975138898446591625098756495809886035939322391487948440145144032359033650425617784660731936322941602459529618591360417103201518609164425883799670253873895880102828491702021547190905941845738983946176955184764042305324562235789694286617075612879654366240787410264499034046237010291939595068182041779487393476990049601386284187394866730026437475977325134960028149661302895514503345318555158501311446050040581172609434461473800855723322678884418717845007504490222137749092708522065640088612123635619909087827061655769503912095985815278478569919533815507357949385468928166330604408820543321836600214491449046833925604886775860893050295189950677081040450223196579943151687039903427173048863765752521574319814811776636429304636728736050305857607908782228286344004055521275995319971464686513976926545526620375230892688508752437823835367529032471819802620941295784218739209174095846543709827542653266675750849292295573475749471939788405749385338756941277441837224525147676341523869098349556202427662151785612659621209544787671369462406178020418169917507948166068313761687587733808815228072435345708506387916380220978774888016918300026783416702074196406314978324045220781437959183628778730595279613512006121488486683708399880651886211039706359,503212.70000131335
Fermat,40 bits,531585472303,34.40000000409782
Fermat,56 bits,6708904064029807,34.100001357728615
Fermat,80 bits,311223727727982235741079,61.30000110715628
Fermat,128 bits,152109257256663645827918982176126790991,148.29999781795777
Fermat,168 bits,65742836999865924043456484780297077251539370179467,242.6999999443069
Fermat,224 bits,15897970173828804992795207402674208946944308808358714986965170298973,381.60000258358195
Fermat,256 bits,426178821124588758141174965063318746072366654573655546493898495477106942933,423.50000148871914
Fermat,512 bits,747693142735107214362340406316018647683332798567865098276200184591886378827421227189457484250177905591427806715421350023389743146688249463933842343662899,1827.100000809878
Fermat,1024 bits,85033938841742395313706313910622765494798112960042073151406506335989983335136504606837034629059513437060474671895937147503484179214131581956141683656909138941939509837812608431191949682683357916873689304410873814972140203193827009592613706538411451049718071791755538807142907960146057408864936503746621032537,11174.500003107823
Fermat,2048 bits,9598668291697528723678640848544164960408554298638231375836690709049621068070465682511716085032502164767022567279462174258145529793002475651775316195877721730091407876027535283669984445582001965813327869303958889265773705870748206540639961427500538973466087913729837417022791481745485344859834578377759242856870766821727877312289439008088716897312256882528410472164583276724110369755179168435796511561718716932371765025550665410004309818645212123403893435286027631811235758242664595765370049770043985127499533732227712990463488317347611670291093265617167100717675727374693714143962992398300393689507634838200094186439,75086.9999974384
Fermat,4096 bits,455335113750255948051712016336367391289557408064152649428591971181498516264229086287092028762920670625249551573106796441283814781038737240704606364913128832840613916829970640009006947196229858477399751135134287961815745323584806496538897669762551124541652016880768296448200901818454167283504444628621018500198643447594944499140514136803288768820024022034475628237465748517979546495402416056679779476396142116409439491422971973622345777551313332771716476579416458545660797432939782475256149905950276689883738489910416720394149691018909217462990424904951923510499890735079336950964713611579401816416879636306530731902830036462754425560130758029340552954967660679854449392124238454475699694183932740995588952490157151232391885052278806410903476117923438074648192189590886550358753920344948184268395850761936825962139304466942749229562755576011199271569457514285858558504722311452495764786097156269184676051351295596544646546476142147968788932689543021678534090894778427635211544063143654090034907049532595963409412581504839842394712933273050556270796091222498882788897030072107931816001076674337905384881905439410991996813977937956156046838278966202973577270194748614174021761819544708224237023258541201540634748387012085714557310519633,521430.79999950714
